35108:
 num     #instances         #bytes  class name (module)
 183:           474          11376  java.util.regex.Pattern$BmpCharProperty (java.base@25)
 184:           280          11200  sun.security.util.KnownOIDs (java.base@25)
 185:           229          10992  java.util.concurrent.ConcurrentHashMap$TreeNode (java.base@25)
 186:           456          10944  sun.reflect.generics.scope.MethodScope (java.base@25)
 187:           341          10912  jdk.internal.math.FDBigInteger (java.base@25)
 188:           340          10880  java.util.ResourceBundle$KeyElementReference (java.base@25)
 189:           113          10848  com.baomidou.mybatisplus.core.metadata.TableFieldInfo
 190:           225          10800  java.util.logging.LogManager$LoggerWeakRef (java.logging@25)
 191:           337          10784  java.util.Collections$UnmodifiableMap (java.base@25)
 192:           336          10752  com.mysql.cj.conf.BooleanProperty
 193:           134          10720  java.net.URI (java.base@25)
 194:           268          10720  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
 195:           664          10624  org.springframework.boot.autoconfigure.condition.ConditionMessage
 196:            50          10400  org.apache.coyote.Request
 197:           320          10240  org.springframework.web.util.pattern.SeparatorPathElement
 198:           318          10176  java.lang.module.ModuleDescriptor$Requires (java.base@25)
 199:           269          10112  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
 200:           310           9920  java.util.zip.ZipFile$CleanableResource (java.base@25)
 201:           619           9904  java.util.WeakHashMap$KeySet (java.base@25)
 202:            88           9856  org.springframework.context.annotation.ScannedGenericBeanDefinition
 203:           307           9824  org.springframework.boot.loader.jar.NestedJarFileResources
 204:           153           9792  org.apache.ibatis.mapping.ResultMap
 205:           121           9680  com.flashchat.userservice.dao.entity.AccountDO
 206:            12           9664  [Lio.netty.buffer.PoolSubpage;
 207:           301           9632  sun.reflect.generics.reflectiveObjects.TypeVariableImpl (java.base@25)
 208:           392           9408  java.util.ImmutableCollections$List12 (java.base@25)
 209:           290           9280  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@25)
 210:            92           9200  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 211:           287           9184  org.springframework.boot.loader.zip.FileDataBlock
 212:           227           9080  com.mysql.cj.conf.PropertyKey
 213:           283           9056  org.redisson.client.protocol.RedisCommand
 214:           282           9024  org.redisson.client.protocol.RedisStrictCommand
 215:           371           8904  java.util.LinkedHashMap$LinkedEntrySet (java.base@25)
 216:           550           8800  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 217:           364           8736  com.fasterxml.jackson.databind.type.ClassKey
 218:           273           8736  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$Node
 219:           135           8640  java.lang.module.ModuleDescriptor (java.base@25)
 220:           539           8624  com.fasterxml.jackson.databind.introspect.AnnotationMap
 221:           268           8576  org.springframework.boot.context.properties.source.ConfigurationPropertyName
 222:           213           8520  java.lang.classfile.Opcode (java.base@25)
 223:           470           8472  [Ljava.lang.annotation.Annotation; (java.base@25)
 224:           353           8472  java.lang.Double (java.base@25)
 225:           150           8400  java.nio.HeapCharBuffer (java.base@25)
 226:            50           8400  org.apache.catalina.connector.Request
 227:            95           8360  java.util.regex.Pattern (java.base@25)
 228:           128           8192  org.springframework.web.method.HandlerMethod
 229:           203           8120  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@25)
 230:           202           8080  java.lang.invoke.DirectMethodHandle$Interface (java.base@25)
 231:           335           8040  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@25)
 232:           334           8016  java.util.ImmutableCollections$SetN (java.base@25)
 233:           324           7776  org.apache.ibatis.scripting.xmltags.TextSqlNode
 234:           138           7728  org.springframework.boot.loader.zip.ZipCentralDirectoryFileHeaderRecord
 235:            59           7552  io.netty.util.internal.InternalThreadLocalMap
 236:           313           7512  java.util.concurrent.atomic.AtomicLong (java.base@25)
 237:           469           7504  java.util.Collections$UnmodifiableSet (java.base@25)
 238:           132           7392  jdk.internal.module.ModuleReferenceImpl (java.base@25)
 239:           308           7392  sun.reflect.generics.tree.FormalTypeParameter (java.base@25)
 240:           455           7280  sun.reflect.generics.tree.TypeVariableSignature (java.base@25)
 241:           227           7264  io.netty.util.AsciiString
 242:           227           7264  java.util.RegularEnumSet (java.base@25)
 243:           302           7248  org.springframework.boot.loader.net.protocol.jar.UrlJarManifest
 244:           150           7200  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 245:           180           7200  java.lang.invoke.DirectMethodHandle$Special (java.base@25)
 246:           296           7104  javax.management.ObjectName$Property (java.management@25)
