31420:
 num     #instances         #bytes  class name (module)
 266:           156           6240  io.netty.util.Recycler$LocalPool
 267:           259           6224  [Ljava.lang.reflect.TypeVariable; (java.base@25)
 268:             2           6176  [Lio.netty.util.HashedWheelTimer$HashedWheelBucket;
 269:            64           6144  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@25)
 270:           189           6048  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@25)
 271:           108           6048  org.HdrHistogram.DoubleRecorder$InternalConcurrentDoubleHistogram
 272:           251           6024  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@25)
 273:           107           5992  java.util.logging.Logger (java.logging@25)
 274:           249           5976  io.micrometer.core.instrument.Tags
 275:            39           5928  io.netty.channel.nio.NioEventLoop
 276:           148           5920  java.io.FileDescriptor (java.base@25)
 277:            81           5832  org.springframework.core.annotation.AnnotatedMethod$AnnotatedMethodParameter
 278:           182           5824  java.util.logging.LogManager$LogNode (java.logging@25)
 279:           236           5816  [Lcom.fasterxml.jackson.databind.JavaType;
 280:           212           5656  [Lorg.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet;
 281:           351           5616  org.redisson.client.protocol.convertor.EmptyConvertor
 282:            20           5600  java.util.concurrent.atomic.Striped64$Cell (java.base@25)
 283:            50           5600  org.apache.coyote.Response
 284:           134           5360  java.security.CodeSource (java.base@25)
 285:           334           5344  jdk.proxy2.$Proxy48 (jdk.proxy2)
 286:            95           5320  org.springframework.transaction.interceptor.RuleBasedTransactionAttribute
 287:           332           5312  java.util.HashMap$EntrySet (java.base@25)
 288:           330           5280  org.springframework.expression.common.LiteralExpression
 289:           218           5232  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@25)
 290:           217           5208  java.util.regex.Pattern$GroupTail (java.base@25)
 291:            50           5200  org.apache.coyote.http11.Http11Processor
 292:           107           5136  org.apache.ibatis.ognl.ASTConst
 293:           213           5112  java.util.regex.Pattern$GroupHead (java.base@25)
 294:           210           5040  com.esotericsoftware.kryo.Kryo$DefaultSerializerEntry
 295:           210           5040  io.micrometer.core.instrument.ImmutableTag
 296:            16           4992  java.util.concurrent.ForkJoinPool$WorkQueue (java.base@25)
 297:           124           4960  ch.qos.logback.core.status.InfoStatus
 298:           102           4896  java.lang.Thread$FieldHolder (java.base@25)
 299:           204           4896  org.springframework.beans.factory.config.BeanDefinitionHolder
 300:           203           4872  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 301:           121           4840  com.flashchat.chatservice.websocket.manager.RoomMemberInfo
 302:           302           4832  org.springframework.boot.loader.net.protocol.jar.UrlJarFiles$$Lambda/0x0000000012046e50
 303:           302           4832  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile$$Lambda/0x000000001204f870
 304:           201           4824  org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor
 305:            60           4800  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 306:           150           4800  com.fasterxml.jackson.core.io.SerializedString
 307:           200           4800  java.util.LinkedList$Node (java.base@25)
 308:           194           4656  java.util.Arrays$ArrayList (java.base@25)
 309:            45           4624  [S (java.base@25)
 310:           168           4608  [Lorg.springframework.core.annotation.AnnotationTypeMapping;
 311:            82           4592  com.fasterxml.jackson.databind.type.CollectionType
 312:           143           4576  sun.reflect.annotation.AnnotationType (java.base@25)
 313:           139           4448  org.springframework.core.io.ClassPathResource
 314:           138           4416  org.springframework.boot.loader.zip.ZipContent$Entry
 315:            50           4400  org.apache.coyote.RequestInfo
 316:            50           4400  org.apache.coyote.http11.Http11InputBuffer
 317:           137           4384  com.fasterxml.jackson.databind.introspect.AnnotatedField
 318:           137           4384  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@25)
 319:           135           4320  java.security.ProtectionDomain (java.base@25)
 320:           180           4320  java.util.Collections$SingletonList (java.base@25)
 321:           108           4320  java.util.logging.Logger$ConfigurationData (java.logging@25)
 322:            30           4320  sun.nio.ch.DatagramChannelImpl (java.base@25)
 323:           269           4304  jdk.proxy2.$Proxy41 (jdk.proxy2)
 324:           177           4248  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@25)
 325:           131           4192  java.util.regex.Pattern$Branch (java.base@25)
 326:           159           4184  [Ljava.lang.annotation.ElementType; (java.base@25)
 327:            74           4144  java.lang.Module (java.base@25)
 328:             1           4112  [Lcom.sun.org.apache.xpath.internal.objects.XObject; (java.xml@25)
 329:             1           4112  [Ljava.lang.classfile.constantpool.PoolEntry; (java.base@25)
 330:           171           4104  java.util.regex.Pattern$$Lambda/0x800000028 (java.base@25)
 331:           256           4096  java.lang.Byte (java.base@25)
 332:           256           4096  java.lang.Short (java.base@25)
 333:           102           4080  java.lang.invoke.VarHandle$AccessDescriptor (java.base@25)
 334:           253           4048  org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$Source
 335:           168           4032  org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets
 336:            72           4032  org.springframework.web.servlet.mvc.method.RequestMappingInfo
 337:            83           3984  java.lang.StackTraceElement (java.base@25)
 338:           200           3960  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@25)
 339:           165           3960  java.util.concurrent.CompletableFuture (java.base@25)
 340:           123           3936  com.flashchat.chatservice.audit.hander.SensitiveWordAuditHandler$DfaNode
 341:            97           3880  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@25)
 342:           131           3848  [Ljava.util.regex.Pattern$Node; (java.base@25)
 343:            80           3840  org.springframework.web.util.pattern.PathPattern
 344:            40           3840  sun.nio.ch.WEPollSelectorImpl (java.base@25)
 345:           159           3816  org.springframework.boot.origin.TextResourceOrigin
